,Year,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Grade,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
11459,2015,WY,Wyoming,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,8.9,4.8,16.2,135.0,,,,,,,2 or more races,"(43.235541343, -108.109830353)",OWS,OWS1,Q038,VALUE,56,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
11462,2015,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.2,14.0,18.6,1061.0,,,,Female,,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Gender,Female,GEN,FEMALE
11731,2015,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.7,9.8,18.9,610.0,,,,,9th,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Grade,9th,GRADE,GRADE09
11945,2015,AZ,Arizona,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.9,9.0,15.6,467.0,,,,,9th,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q038,VALUE,4,Grade,9th,GRADE,GRADE09
12288,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.8,11.2,19.3,571.0,,,,,12th,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Grade,12th,GRADE,GRADE12
12509,2015,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,5.5,3.6,8.4,583.0,,,,,,,Asian,,OWS,OWS1,Q038,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
12530,2015,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.4,11.0,18.6,545.0,,,,,,,American Indian/Alaska Native,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
12828,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.9,11.4,19.1,339.0,,,,,,,2 or more races,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
13160,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.6,5.7,9.9,286.0,,,,,,,Asian,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,Asian,RACE,RACEASN
13198,2015,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.6,15.3,24.9,557.0,,,,,,,Non-Hispanic Black,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
13297,2015,NH,New Hampshire,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.2,11.5,13.0,13671.0,Total,,,,,,,"(43.655950113, -71.50036092)",OWS,OWS1,Q038,VALUE,33,Total,Total,OVR,OVERALL
13408,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.4,13.0,20.5,793.0,,,,,9th,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Grade,9th,GRADE,GRADE09
13505,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.7,9.1,12.5,2164.0,,,,,,,Non-Hispanic White,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
13533,2015,CA,California,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.3,10.9,18.7,463.0,,,,,10th,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q038,VALUE,6,Grade,10th,GRADE,GRADE10
13543,2015,AZ,Arizona,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.0,4.7,10.4,1288.0,,,,Female,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q038,VALUE,4,Gender,Female,GEN,FEMALE
13547,2015,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.8,10.5,20.3,472.0,,,,,9th,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Grade,9th,GRADE,GRADE09
13604,2015,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.0,10.9,17.9,596.0,,,,,9th,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Grade,9th,GRADE,GRADE09
13658,2015,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.6,14.6,20.9,2877.0,,,,Male,,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Gender,Male,GEN,MALE
13676,2015,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.8,3.6,16.2,114.0,,,,,,,2 or more races,"(40.485010283, -88.997710178)",OWS,OWS1,Q038,VALUE,17,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
13768,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.3,16.3,22.7,1305.0,,,,,,,Non-Hispanic White,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
13825,2015,NM,New Mexico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.5,18.2,20.8,3830.0,,,,Male,,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q038,VALUE,35,Gender,Male,GEN,MALE
13840,2015,NH,New Hampshire,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,11.7,14.0,3642.0,,,,,10th,,,"(43.655950113, -71.50036092)",OWS,OWS1,Q038,VALUE,33,Grade,10th,GRADE,GRADE10
13896,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.9,13.9,27.8,228.0,,,,,,,American Indian/Alaska Native,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
13907,2015,US,National,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.9,7.6,30.3,150.0,,,,,,,American Indian/Alaska Native,,OWS,OWS1,Q038,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
13924,2015,GU,Guam,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.5,12.4,21.5,318.0,,,,,11th,,,"(13.444304, 144.793731)",OWS,OWS1,Q038,VALUE,66,Grade,11th,GRADE,GRADE11
13954,2015,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.7,9.2,17.3,570.0,,,,,12th,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Grade,12th,GRADE,GRADE12
13961,2015,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.7,11.7,26.0,111.0,,,,,,,Non-Hispanic Black,"(37.645970271, -84.774971048)",OWS,OWS1,Q038,VALUE,21,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
14033,2015,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.9,6.5,15.0,191.0,,,,,,,Asian,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Race/Ethnicity,Asian,RACE,RACEASN
14036,2015,NM,New Mexico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.1,10.6,13.7,1568.0,,,,,,,Non-Hispanic White,"(34.520880952, -106.240580985)",OWS,OWS1,Q038,VALUE,35,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
14188,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.0,11.9,21.2,467.0,,,,,,,Hispanic,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Race/Ethnicity,Hispanic,RACE,RACEHIS
14240,2015,WY,Wyoming,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.8,11.4,16.6,1146.0,,,,Male,,,,"(43.235541343, -108.109830353)",OWS,OWS1,Q038,VALUE,56,Gender,Male,GEN,MALE
14338,2015,OK,Oklahoma,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,20.1,14.0,28.0,193.0,,,,,,,2 or more races,"(35.472031356, -97.521070214)",OWS,OWS1,Q038,VALUE,40,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
14385,2015,OK,Oklahoma,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.0,13.2,19.2,529.0,,,,,9th,,,"(35.472031356, -97.521070214)",OWS,OWS1,Q038,VALUE,40,Grade,9th,GRADE,GRADE09
14417,2015,KY,Kentucky,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.0,12.2,28.5,115.0,,,,,,,Hispanic,"(37.645970271, -84.774971048)",OWS,OWS1,Q038,VALUE,21,Race/Ethnicity,Hispanic,RACE,RACEHIS
14504,2015,GU,Guam,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.8,10.0,21.4,288.0,,,,,,,Asian,"(13.444304, 144.793731)",OWS,OWS1,Q038,VALUE,66,Race/Ethnicity,Asian,RACE,RACEASN
14524,2015,AL,Alabama,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.5,12.6,21.4,256.0,,,,,12th,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q038,VALUE,1,Grade,12th,GRADE,GRADE12
14553,2015,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.0,9.4,12.8,2927.0,Total,,,,,,,"(42.27687047, -72.082690675)",OWS,OWS1,Q038,VALUE,25,Total,Total,OVR,OVERALL
14611,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.6,12.9,18.8,690.0,,,,,11th,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Grade,11th,GRADE,GRADE11
14718,2015,CT,Connecticut,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.1,8.5,14.4,1319.0,,,,,,,Non-Hispanic White,"(41.56266102, -72.649840952)",OWS,OWS1,Q038,VALUE,9,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
14728,2015,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.9,7.4,15.6,713.0,,,,,11th,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Grade,11th,GRADE,GRADE11
14861,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.8,10.1,13.8,1328.0,,,,,11th,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Grade,11th,GRADE,GRADE11
14867,2015,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.8,8.8,15.6,501.0,,,,,12th,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q038,VALUE,17,Grade,12th,GRADE,GRADE12
14872,2015,DC,District of Columbia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.7,14.2,17.4,2192.0,,,,,11th,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q038,VALUE,11,Grade,11th,GRADE,GRADE11
14881,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.8,10.7,15.2,2131.0,,,,,11th,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Grade,11th,GRADE,GRADE11
14936,2015,FL,Florida,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.3,11.2,13.4,5628.0,Total,,,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q038,VALUE,12,Total,Total,OVR,OVERALL
14981,2015,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.2,9.9,17.2,352.0,,,,,10th,,,"(41.641040988001, -99.365720623)",OWS,OWS1,Q038,VALUE,31,Grade,10th,GRADE,GRADE10
15049,2015,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.4,13.8,24.2,291.0,,,,,12th,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Grade,12th,GRADE,GRADE12
15065,2015,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.1,12.4,18.2,902.0,,,,,11th,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Grade,11th,GRADE,GRADE11
15150,2015,PR,Puerto Rico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.5,8.7,15.1,504.0,,,,,11th,,,"(18.220833, -66.590149)",OWS,OWS1,Q038,VALUE,72,Grade,11th,GRADE,GRADE11
15174,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.7,10.5,17.7,2538.0,,,,,12th,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Grade,12th,GRADE,GRADE12
15248,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,23.2,13.6,36.6,106.0,,,,,,,Hispanic,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Race/Ethnicity,Hispanic,RACE,RACEHIS
15396,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.3,9.2,11.6,4329.0,Total,,,,,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Total,Total,OVR,OVERALL
15433,2015,NV,Nevada,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,6.3,4.5,8.9,718.0,,,,Female,,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q038,VALUE,32,Gender,Female,GEN,FEMALE
15480,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.2,8.2,12.5,1037.0,,,,,9th,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Grade,9th,GRADE,GRADE09
15545,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.0,12.3,15.8,2741.0,Total,,,,,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Total,Total,OVR,OVERALL
15723,2015,VT,Vermont,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.1,15.4,16.9,9267.0,,,,Male,,,,"(43.625381239, -72.517640791)",OWS,OWS1,Q038,VALUE,50,Gender,Male,GEN,MALE
15760,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.9,10.0,14.0,2036.0,,,,,,,Non-Hispanic White,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
15880,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.1,14.3,18.1,4540.0,,,,Male,,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Gender,Male,GEN,MALE
15909,2015,MI,Michigan,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.6,11.5,16.0,2215.0,,,,,,,Non-Hispanic White,"(44.661319543001, -84.71439027)",OWS,OWS1,Q038,VALUE,26,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
16036,2015,VA,Virginia,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.4,9.0,14.3,2037.0,,,,Female,,,,"(37.542680674, -78.457890463)",OWS,OWS1,Q038,VALUE,51,Gender,Female,GEN,FEMALE
16151,2015,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.2,13.8,18.9,1578.0,,,,Male,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Gender,Male,GEN,MALE
16240,2015,PR,Puerto Rico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.9,9.4,14.9,746.0,,,,Male,,,,"(18.220833, -66.590149)",OWS,OWS1,Q038,VALUE,72,Gender,Male,GEN,MALE
16256,2015,PR,Puerto Rico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.9,5.8,16.3,286.0,,,,,12th,,,"(18.220833, -66.590149)",OWS,OWS1,Q038,VALUE,72,Grade,12th,GRADE,GRADE12
16624,2015,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,24.1,20.5,28.1,944.0,,,,,,,Non-Hispanic Black,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
16802,2015,MD,Maryland,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.2,8.7,9.7,26548.0,,,,,,,Non-Hispanic White,"(39.290580964, -76.609260111)",OWS,OWS1,Q038,VALUE,24,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
16853,2015,NM,New Mexico,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.8,14.1,17.7,2246.0,,,,,10th,,,"(34.520880952, -106.240580985)",OWS,OWS1,Q038,VALUE,35,Grade,10th,GRADE,GRADE10
17002,2015,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.6,15.5,22.3,729.0,,,,,12th,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Grade,12th,GRADE,GRADE12
17115,2015,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.1,12.1,21.0,265.0,,,,,12th,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Grade,12th,GRADE,GRADE12
17202,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.9,12.7,17.4,3484.0,,,,,,,Hispanic,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Race/Ethnicity,Hispanic,RACE,RACEHIS
17238,2015,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.9,8.4,19.3,304.0,,,,,12th,,,"(38.635790776, -92.566300053)",OWS,OWS1,Q038,VALUE,29,Grade,12th,GRADE,GRADE12
17240,2015,NC,North Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.0,9.2,23.5,406.0,,,,,,,2 or more races,"(35.466220975, -79.159250463)",OWS,OWS1,Q038,VALUE,37,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
17360,2015,SD,South Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,15.7,11.1,21.9,239.0,,,,,10th,,,"(44.353130053, -100.373530637)",OWS,OWS1,Q038,VALUE,46,Grade,10th,GRADE,GRADE10
17392,2015,NE,Nebraska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,9.3,7.1,12.2,825.0,,,,Female,,,,"(41.641040988001, -99.365720623)",OWS,OWS1,Q038,VALUE,31,Gender,Female,GEN,FEMALE
17508,2015,TN,Tennessee,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,22.7,20.2,25.4,1902.0,,,,Male,,,,"(35.68094058, -85.774490914)",OWS,OWS1,Q038,VALUE,47,Gender,Male,GEN,MALE
17525,2015,RI,Rhode Island,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.4,6.6,16.2,176.0,,,,,,,2 or more races,"(41.708280193, -71.522470314)",OWS,OWS1,Q038,VALUE,44,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
17669,2015,DE,Delaware,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.9,12.3,17.9,674.0,,,,,9th,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q038,VALUE,10,Grade,9th,GRADE,GRADE09
17909,2015,NH,New Hampshire,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.0,9.6,12.7,2826.0,,,,,12th,,,"(43.655950113, -71.50036092)",OWS,OWS1,Q038,VALUE,33,Grade,12th,GRADE,GRADE12
17958,2015,MO,Missouri,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.1,9.9,17.0,1431.0,Total,,,,,,,"(38.635790776, -92.566300053)",OWS,OWS1,Q038,VALUE,29,Total,Total,OVR,OVERALL
17964,2015,CA,California,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.4,9.1,16.7,565.0,,,,,9th,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q038,VALUE,6,Grade,9th,GRADE,GRADE09
18098,2015,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.0,11.9,16.5,1344.0,Total,,,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Total,Total,OVR,OVERALL
18254,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.6,11.1,16.6,343.0,,,,,10th,,,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Grade,10th,GRADE,GRADE10
18297,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.0,15.1,23.7,623.0,,,,Male,,,,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Gender,Male,GEN,MALE
18381,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.0,9.1,18.3,666.0,,,,,,,Non-Hispanic Black,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
18604,2015,SC,South Carolina,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.3,14.5,18.2,1277.0,Total,,,,,,,"(33.998821303, -81.045371207)",OWS,OWS1,Q038,VALUE,45,Total,Total,OVR,OVERALL
18691,2015,MA,Massachusetts,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.7,9.8,16.2,862.0,,,,,11th,,,"(42.27687047, -72.082690675)",OWS,OWS1,Q038,VALUE,25,Grade,11th,GRADE,GRADE11
18718,2015,NV,Nevada,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.5,10.6,14.6,388.0,,,,,9th,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q038,VALUE,32,Grade,9th,GRADE,GRADE09
18752,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,17.2,15.7,18.9,4395.0,,,,Male,,,,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Gender,Male,GEN,MALE
19006,2015,NV,Nevada,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,11.6,8.9,14.9,391.0,,,,,11th,,,"(39.49324039, -117.071840564)",OWS,OWS1,Q038,VALUE,32,Grade,11th,GRADE,GRADE11
